,Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS▼,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos,Awards,Player-additional,CumOPS,Player == str_trim(Player)
,1,Babe Ruth*,25,NYY,AL,11.9,142,617,458,158,172,36,9,54,135,14,14,150,80,0.376,0.532,0.847,1.379,255,0.587,248,388,3,5,*978/31H,NA,ruthba01,255,TRUE
,2,Cristóbal Torriente*,26,CAG,NNL,4.8,66,270,231,53,95,21,9,2,60,8,NA,30,NA,0.411,0.479,0.606,1.085,223,0.51,215,140,0,9,*8/519,NA,torricr99,223,TRUE
,3,George Sisler*,27,SLB,AL,9.7,154,692,631,137,257,49,18,19,122,42,17,46,19,0.407,0.449,0.632,1.082,181,0.502,187,399,2,13,*3/1,NA,sislege01,181,TRUE
,4,Tris Speaker*,32,CLE,AL,8.6,150,674,552,137,214,50,11,8,107,10,13,97,13,0.388,0.483,0.562,1.045,172,0.486,182,310,5,20,*8/H,NA,speaktr01,172,TRUE
,5,Jimmie Lyons*,30,DS,NNL,4.5,59,263,227,64,86,15,5,8,46,21,NA,26,NA,0.379,0.445,0.595,1.04,209,0.501,202,135,1,9,*87/13,NA,lyonsji01,209,TRUE
,6,Joe Jackson*,32,CHW,AL,7.5,146,649,570,105,218,42,20,12,121,9,12,56,14,0.382,0.444,0.589,1.033,172,0.473,179,336,7,16,*7/9H,NA,jacksjo01,172,TRUE
