Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS▼,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos,Awards,Player-additional
91,Chick Shorten*,28,DET,AL,0.5,116,410,364,35,105,9,6,1,40,2,4,28,14,.288,.339,.354,.694,86,.333,88,129,0,18,98H,,shortch01
92,Les Mann,26,BSN,NL,1.6,115,477,424,48,117,7,8,3,32,7,7,38,42,.276,.341,.351,.693,104,.331,107,149,4,11,*7/9H,,mannle01
93,Cliff Heathcote*,22,STL,NL,1.7,133,532,489,55,139,18,8,3,56,21,14,25,31,.284,.320,.372,.693,100,.329,100,182,1,16,*897/H,,heathcl01
94,Bill Riggins#,20,2TM,NNL,1.3,62,243,216,20,58,12,2,2,27,1,,15,,.269,.322,.370,.692,106,.335,104,80,2,10,*65,,riggibi01
95,Doc Lavan,29,STL,NL,3.0,142,569,516,52,149,21,10,1,63,11,14,19,38,.289,.318,.374,.692,100,.322,99,193,3,31,*6/H,,lavando01
96,Amos Strunk*,31,2TM,AL,0.5,111,454,390,56,105,17,4,1,36,1,6,49,24,.269,.351,.341,.692,84,.333,87,133,0,11,987/H,,strunam01
97,Aaron Ward,23,NYY,AL,1.8,127,551,496,62,127,18,7,11,56,7,5,33,84,.256,.304,.387,.691,79,.318,70,192,1,17,*56/H,,wardaa01
98,Wally Gerber,28,SLB,AL,1.7,154,666,584,70,163,26,2,2,60,4,13,58,32,.279,.346,.341,.687,80,.326,82,199,2,19,*6,,gerbewa01
99,Frankie Frisch#,22,NYG,NL,3.1,110,473,440,57,123,10,10,4,77,34,11,20,18,.280,.311,.375,.686,96,.336,95,165,0,13,*5/6H,,friscfr01
100,Swede Risberg,25,CHW,AL,1.5,126,506,458,53,122,21,10,2,65,12,10,31,45,.266,.316,.369,.685,81,.323,77,169,2,15,*6/H,,risbesw01
101,Hank Severeid,29,SLB,AL,2.0,123,466,422,46,117,14,5,2,49,5,3,33,11,.277,.336,.348,.684,79,.334,80,147,4,6,*2/H,,severha01
102,Donie Bush#,32,DET,AL,1.0,141,630,506,85,133,18,5,1,33,15,7,73,32,.263,.357,.324,.681,84,.338,88,164,1,48,*6/H,,bushdo01
103,Frank Welch,22,PHA,AL,-1.0,100,398,360,43,93,17,5,4,40,2,9,26,41,.258,.312,.367,.679,79,.312,75,132,2,8,89/H,,welchfr01
104,Howie Shanks,29,WSH,AL,0.4,128,492,444,56,119,16,7,4,37,11,6,29,43,.268,.316,.363,.678,82,.320,79,161,2,14,573H/948,,shankho01
105,Stuffy McInnis,29,BOS,AL,0.6,148,624,559,50,166,21,3,2,71,6,11,18,19,.297,.321,.356,.677,82,.317,81,199,2,45,*3,,mcinnst01
106,Frank Ellerbe,24,WSH,AL,0.6,101,381,336,38,98,14,2,0,36,5,4,19,23,.292,.331,.345,.677,82,.324,81,116,1,20,56/H9,,ellerfr01
107,Rabbit Maranville,28,BSN,NL,3.0,134,534,493,48,131,19,15,1,43,14,11,28,24,.266,.305,.371,.676,99,.320,99,183,0,13,*6/4H,,maranra01
108,Gene Paulette,29,PHI,NL,0.9,143,608,562,59,162,16,6,1,36,9,8,33,16,.288,.332,.343,.676,92,.325,93,193,4,9,*3/H6,,paulege01
109,Eddie Foster,33,BOS,AL,2.0,117,442,386,48,100,17,6,0,41,10,4,42,17,.259,.336,.334,.671,81,.330,84,129,3,11,54H/6,,fosteed02
110,Dave Malarcher#,25,CAG,NNL,1.7,60,265,224,47,58,8,2,0,23,6,,33,,.259,.357,.313,.669,100,.335,104,70,1,7,*5/64,,malarda01
111,Everett Scott,27,BOS,AL,2.4,154,615,569,41,153,21,12,4,61,4,11,21,15,.269,.300,.369,.669,79,.313,77,210,4,21,*6,,scottev01
112,Cy Perkins,24,PHA,AL,3.0,148,535,492,40,128,24,6,5,52,5,6,28,35,.260,.303,.364,.667,76,.314,72,179,2,13,*2/4H,,perkicy01
113,Mickey O'Neil,22,BSN,NL,2.9,112,344,304,19,86,5,4,0,28,4,4,21,20,.283,.339,.326,.665,97,.323,100,99,5,13,*2/H,,o'neimi02
114,Tony Boeckel,27,BSN,NL,0.8,153,631,582,70,156,28,5,3,62,18,15,38,50,.268,.314,.349,.663,95,.313,95,203,1,9,*5/64,,boeckto01
115,Ira Flagstead,26,DET,AL,0.5,110,359,311,40,73,13,5,3,35,3,4,37,27,.235,.318,.338,.656,76,.316,76,105,1,10,9H/87,,flagsir01
116,George Whitted,30,PIT,NL,0.8,134,557,494,53,129,11,12,1,74,11,11,35,36,.261,.314,.338,.652,85,.309,83,167,3,23,*53/7H,,whittpo01
